rank,title,link,rating,quote,year
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,9.7,希望让人自由。,1994
2,霸王别姬,https://movie.douban.com/subject/1291546/,9.6,风华绝代。,1993
3,泰坦尼克号,https://movie.douban.com/subject/1292722/,9.5,失去的才是永恒的。,1997
4,阿甘正传,https://movie.douban.com/subject/1292720/,9.5,一部美国近现代史。,1994
5,千与千寻,https://movie.douban.com/subject/1291561/,9.4,最好的宫崎骏，最好的久石让。,2001
6,美丽人生,https://movie.douban.com/subject/1292063/,9.5,最美的谎言。,1997
7,星际穿越,https://movie.douban.com/subject/1889243/,9.4,爱是一种力量，让我们超越时空感知它的存在。,2014
8,这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,怪蜀黍和小萝莉不得不说的故事。,1994
9,盗梦空间,https://movie.douban.com/subject/3541415/,9.4,诺兰给了我们一场无法盗取的梦。,2010
10,楚门的世界,https://movie.douban.com/subject/1292064/,9.4,如果再也不能见到你，祝你早安，午安，晚安。,1998
11,辛德勒的名单,https://movie.douban.com/subject/1295124/,9.5,拯救一个人，就是拯救整个世界。,1993
12,忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.4,永远都不能忘记你所爱的人。,2009
13,海上钢琴师,https://movie.douban.com/subject/1292001/,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,1998
14,疯狂动物城,https://movie.douban.com/subject/25662329/,9.3,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016
15,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2,英俊版憨豆，高情商版谢耳朵。,2009
16,机器人总动员,https://movie.douban.com/subject/2131459/,9.3,小瓦力，大人生。,2008
17,放牛班的春天,https://movie.douban.com/subject/1291549/,9.3,天籁一般的童声，是最接近上帝的存在。,2004
18,无间道,https://movie.douban.com/subject/1307914/,9.3,香港电影史上永不过时的杰作。,2002
19,控方证人,https://movie.douban.com/subject/1296141/,9.6,比利·怀德满分作品。,1957
20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,9.2,一生所爱。,1995
21,熔炉,https://movie.douban.com/subject/5912992/,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011
22,寻梦环游记,https://movie.douban.com/subject/20495023/,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,2017
23,触不可及,https://movie.douban.com/subject/6786002/,9.3,满满温情的高雅喜剧。,2011
24,教父,https://movie.douban.com/subject/1291841/,9.3,千万不要记恨你的对手，这样会让你失去理智。,1972
25,当幸福来敲门,https://movie.douban.com/subject/1849031/,9.1,平民励志片。,2006
